Domain,Function,Start_Timestamp,End_Timestamp,Correlation_ID
HIP_API_DOMAIN,"hipSetDevice",2833351594331268,2833351594331368,115
HIP_API_DOMAIN,"hipSetDevice",2833351594331598,2833351594331849,116
HIP_API_DOMAIN,"hipGetDevice",2833351594370927,2833351594371037,117
HIP_API_DOMAIN,"hipSetDevice",2833351594373401,2833351594373501,118
HIP_API_DOMAIN,"hipGetDevice",2833351594388604,2833351594388724,119
HIP_API_DOMAIN,"hipIpcCloseMemHandle",2833351594389696,2833351594760111,120
HIP_API_DOMAIN,"hipGetDevice",2833351594760741,2833351594760832,121
HIP_API_DOMAIN,"hipStreamSynchronize",2833351594761863,2833351594763075,122
HIP_API_DOMAIN,"hipGetDevice",2833359008214447,2833359008217852,123
HIP_API_DOMAIN,"hipIpcOpenMemHandle",2833359008224191,2833359008429970,124
HIP_API_DOMAIN,"hipGetDevice",2833359008430671,2833359008430821,125
HIP_API_DOMAIN,"hipGetDevice",2833359008435287,2833359008435378,126
HIP_API_DOMAIN,"hipSetDevice",2833359008437831,2833359008438542,127
HIP_API_DOMAIN,"hipGetDevice",2833359008516379,2833359008516509,128
HIP_API_DOMAIN,"hipGetDevice",2833359008527295,2833359008527396,129
HIP_API_DOMAIN,"hipGetDevice",2833359008530450,2833359008530540,130
HIP_API_DOMAIN,"hipSetDevice",2833359008532043,2833359008532213,131
HIP_API_DOMAIN,"hipSetDevice",2833359008532693,2833359008532773,132
HIP_API_DOMAIN,"hipGetDevice",2833359008578172,2833359008578282,133
HIP_API_DOMAIN,"hipSetDevice",2833359008581176,2833359008581276,134
HIP_API_DOMAIN,"hipGetDevice",2833359008600545,2833359008600655,135
HIP_API_DOMAIN,"hipIpcCloseMemHandle",2833359008601376,2833359008961215,136
HIP_API_DOMAIN,"hipGetDevice",2833359008962588,2833359008962688,137
HIP_API_DOMAIN,"hipStreamSynchronize",2833359008963419,2833359008964801,138
HIP_API_DOMAIN,"hipGetDevice",2833372420189937,2833372420193002,139
HIP_API_DOMAIN,"hipIpcOpenMemHandle",2833372420199362,2833372420395476,140
HIP_API_DOMAIN,"hipGetDevice",2833372420395996,2833372420396106,141
HIP_API_DOMAIN,"hipGetDevice",2833372420401615,2833372420401705,142
HIP_API_DOMAIN,"hipSetDevice",2833372420404289,2833372420404920,143
HIP_API_DOMAIN,"hipGetDevice",2833372420482596,2833372420482936,144
HIP_API_DOMAIN,"hipGetDevice",2833372420484910,2833372420485000,145
HIP_API_DOMAIN,"hipGetDevice",2833372420487804,2833372420487884,146
HIP_API_DOMAIN,"hipSetDevice",2833372420489406,2833372420489557,147
HIP_API_DOMAIN,"hipSetDevice",2833372420489817,2833372420490147,148
HIP_API_DOMAIN,"hipGetDevice",2833372420534744,2833372420534864,149
HIP_API_DOMAIN,"hipSetDevice",2833372420537488,2833372420537589,150
HIP_API_DOMAIN,"hipGetDevice",2833372420556947,2833372420557078,151
HIP_API_DOMAIN,"hipIpcCloseMemHandle",2833372420558370,2833372420918219,152
HIP_API_DOMAIN,"hipGetDevice",2833372420918900,2833372420918990,153
HIP_API_DOMAIN,"hipStreamSynchronize",2833372420920002,2833372420921163,154
HIP_API_DOMAIN,"hipGetDevice",2833385831743937,2833385831747222,155
HIP_API_DOMAIN,"hipIpcOpenMemHandle",2833385831753381,2833385831948914,156
HIP_API_DOMAIN,"hipGetDevice",2833385831949455,2833385831949585,157
HIP_API_DOMAIN,"hipGetDevice",2833385831952920,2833385831953010,158
HIP_API_DOMAIN,"hipSetDevice",2833385831955744,2833385831956375,159
HIP_API_DOMAIN,"hipGetDevice",2833385832031738,2833385832031888,160
HIP_API_DOMAIN,"hipGetDevice",2833385832034102,2833385832034212,161
HIP_API_DOMAIN,"hipGetDevice",2833385832037577,2833385832037667,162
HIP_API_DOMAIN,"hipSetDevice",2833385832039079,2833385832039239,163
HIP_API_DOMAIN,"hipSetDevice",2833385832039690,2833385832039800,164
HIP_API_DOMAIN,"hipGetDevice",2833385832084547,2833385832084657,165
HIP_API_DOMAIN,"hipSetDevice",2833385832087321,2833385832087422,166
HIP_API_DOMAIN,"hipGetDevice",2833385832108003,2833385832108123,167
HIP_API_DOMAIN,"hipIpcCloseMemHandle",2833385832108884,2833385832470616,168
HIP_API_DOMAIN,"hipGetDevice",2833385832471537,2833385832471627,169
HIP_API_DOMAIN,"hipStreamSynchronize",2833385832472719,2833385832474011,170
HIP_API_DOMAIN,"hipGetDevice",2833399246062439,2833399246065814,171
HIP_API_DOMAIN,"hipIpcOpenMemHandle",2833399246083811,2833399246303891,172
HIP_API_DOMAIN,"hipGetDevice",2833399246304421,2833399246304552,173
HIP_API_DOMAIN,"hipGetDevice",2833399246308758,2833399246308848,174
HIP_API_DOMAIN,"hipSetDevice",2833399246311442,2833399246312143,175
HIP_API_DOMAIN,"hipGetDevice",2833399246391562,2833399246391852,176
HIP_API_DOMAIN,"hipGetDevice",2833399246393935,2833399246394026,177
HIP_API_DOMAIN,"hipGetDevice",2833399246396770,2833399246396860,178
HIP_API_DOMAIN,"hipSetDevice",2833399246398262,2833399246398432,179
HIP_API_DOMAIN,"hipSetDevice",2833399246398693,2833399246398943,180
HIP_API_DOMAIN,"hipGetDevice",2833399246443219,2833399246443339,181
HIP_API_DOMAIN,"hipSetDevice",2833399246445823,2833399246445943,182
HIP_API_DOMAIN,"hipGetDevice",2833399246465142,2833399246465252,183
HIP_API_DOMAIN,"hipIpcCloseMemHandle",2833399246466174,2833399246839803,184
HIP_API_DOMAIN,"hipGetDevice",2833399246840455,2833399246840565,185
HIP_API_DOMAIN,"hipStreamSynchronize",2833399246841366,2833399246842728,186
HIP_API_DOMAIN,"hipGetDevice",2833424469708870,2833424469711664,187
HIP_API_DOMAIN,"hipIpcOpenMemHandle",2833424469718314,2833424469939065,188
HIP_API_DOMAIN,"hipGetDevice",2833424469939646,2833424469939776,189
HIP_API_DOMAIN,"hipGetDevice",2833424469941959,2833424469942050,190
HIP_API_DOMAIN,"hipSetDevice",2833424469944573,2833424469945304,191
HIP_API_DOMAIN,"hipGetDevice",2833424470020127,2833424470020537,192
HIP_API_DOMAIN,"hipGetDevice",2833424470023021,2833424470023111,193
HIP_API_DOMAIN,"hipGetDevice",2833424470032145,2833424470032235,194
HIP_API_DOMAIN,"hipSetDevice",2833424470033737,2833424470033897,195
HIP_API_DOMAIN,"hipSetDevice",2833424470034128,2833424470034378,196
